timestamp,function,duration_seconds,memory_kb,cpu_time_seconds
2025-07-10 15:37:27,generate_account,0.0427,67.64,0.0406
2025-07-10 15:37:27,generate_account,0.0268,1.47,0.0266
2025-07-10 15:37:27,generate_account,0.0250,1.45,0.0247
2025-07-10 15:37:27,create_qbft_file,0.0982,0.00,0.0949
2025-07-10 15:37:28,generate_keys,0.0705,105.94,0.0673
2025-07-10 15:37:34,create_genesis_file,5.5433,0.33,0.0010
2025-07-10 15:37:40,update_genesis_file,5.7041,3.24,0.0018
2025-07-10 15:37:46,update_extra_data_in_genesis,5.1842,3.71,0.0020
2025-07-10 15:38:27,sign_identity,0.1930,2224.14,0.1810
2025-07-10 15:38:27,check_smart_contract,0.0001,69.99,0.0001
2025-07-10 15:38:27,register_node,0.0013,0.00,0.0010
2025-07-10 15:38:27,register_node,0.2238,0.00,0.1941
2025-07-10 15:42:22,sign_identity,0.2009,2224.53,0.1851
2025-07-10 15:42:22,check_smart_contract,0.0003,0.00,0.0002
2025-07-10 15:42:22,check_smart_contract_deployment,0.5754,0.78,0.0032
2025-07-10 15:42:22,register_node,0.5781,0.00,0.0042
2025-07-10 15:42:22,register_node,0.8116,0.00,0.2010
2025-07-10 15:49:20,sign_identity,0.1990,2224.35,0.1843
2025-07-10 15:49:20,check_smart_contract,0.0002,0.00,0.0001
2025-07-10 15:49:21,check_smart_contract_deployment,0.4532,0.54,0.0020
2025-07-10 15:49:21,register_node,0.4551,0.00,0.0026
2025-07-10 15:49:21,register_node,0.6843,0.00,0.2000
2025-07-10 15:51:58,generate_account,0.0388,67.64,0.0378
2025-07-10 15:51:58,generate_account,0.0259,1.45,0.0257
2025-07-10 15:51:58,generate_account,0.0272,1.45,0.0268
2025-07-10 15:51:58,create_qbft_file,0.0957,0.00,0.0934
2025-07-10 15:51:58,generate_keys,0.0792,105.90,0.0691
2025-07-10 15:52:04,create_genesis_file,5.1070,0.33,0.0009
2025-07-10 15:52:10,update_genesis_file,5.2759,3.36,0.0017
2025-07-10 15:52:15,update_extra_data_in_genesis,4.9690,3.71,0.0019
2025-07-10 16:02:41,generate_account,0.0411,67.59,0.0391
2025-07-10 16:02:41,generate_account,0.0265,1.45,0.0262
2025-07-10 16:02:41,generate_account,0.0250,1.45,0.0247
2025-07-10 16:02:41,create_qbft_file,0.0964,0.00,0.0931
2025-07-10 16:02:41,generate_keys,0.0686,106.00,0.0656
2025-07-10 16:02:47,create_genesis_file,5.3648,0.33,0.0009
2025-07-10 16:02:53,update_genesis_file,5.2306,3.36,0.0019
2025-07-10 16:02:59,update_extra_data_in_genesis,5.5415,3.71,0.0019
2025-07-10 16:04:49,sign_identity,0.2005,2223.76,0.1852
2025-07-10 16:04:49,check_smart_contract,0.0001,70.02,0.0000
2025-07-10 16:04:50,check_smart_contract_deployment,0.6425,0.79,0.0017
2025-07-10 16:04:50,verify_node_identity,0.1854,2228.05,0.1788
2025-07-10 16:04:51,is_node_registered_js,0.4015,0.51,0.0011
2025-07-10 16:04:56,register_node_on_chain,5.6189,0.79,0.0027
2025-07-10 16:04:57,get_all_validators,0.4101,0.60,0.0011
2025-07-10 16:04:57,get_all_validators,0.4112,0.54,0.0010
2025-07-10 16:04:57,register_node,7.6766,0.00,0.1912
2025-07-10 16:04:57,register_node,7.9150,0.00,0.2015
2025-07-10 16:05:01,checkValidator,0.4350,0.51,0.0023
2025-07-10 16:05:02,get_all_validators,0.3805,0.60,0.0011
2025-07-10 16:05:12,checkValidator,0.4253,0.51,0.0020
2025-07-10 16:05:13,get_all_validators,0.3761,0.60,0.0010
2025-07-10 16:05:23,checkValidator,0.4295,0.51,0.0033
2025-07-10 16:05:24,get_all_validators,0.3634,0.57,0.0009
2025-07-10 16:05:34,checkValidator,0.4354,0.51,0.0023
2025-07-10 16:05:35,get_all_validators,0.3936,0.60,0.0010
2025-07-10 16:05:46,checkValidator,0.4927,0.51,0.0026
2025-07-10 16:05:46,get_all_validators,0.3598,0.57,0.0010
2025-07-10 16:05:57,checkValidator,0.4335,0.51,0.0028
2025-07-10 16:05:58,get_all_validators,0.3622,0.60,0.0010
2025-07-10 16:06:08,checkValidator,0.4256,0.48,0.0023
2025-07-10 16:06:09,get_all_validators,0.3719,0.60,0.0010
2025-07-10 16:06:19,checkValidator,0.4373,0.51,0.0021
2025-07-10 16:06:20,get_all_validators,0.4028,0.60,0.0011
2025-07-10 16:06:31,checkValidator,0.4932,0.48,0.0020
2025-07-10 16:06:31,get_all_validators,0.3797,0.60,0.0011
2025-07-10 16:06:42,checkValidator,0.4684,0.51,0.0036
2025-07-10 16:06:43,get_all_validators,0.3884,0.60,0.0011
2025-07-10 16:06:53,checkValidator,0.5714,0.51,0.0026
2025-07-10 16:06:54,get_all_validators,0.3627,0.54,0.0010
2025-07-10 16:07:04,checkValidator,0.4445,0.51,0.0039
2025-07-10 16:07:05,get_all_validators,0.3619,0.57,0.0010
2025-07-10 16:07:16,checkValidator,0.4296,0.51,0.0026
2025-07-10 16:07:16,get_all_validators,0.3611,0.54,0.0010
2025-07-10 16:07:27,checkValidator,0.4292,0.51,0.0037
2025-07-10 16:07:27,get_all_validators,0.3576,0.60,0.0010
2025-07-10 16:07:38,checkValidator,0.4659,0.51,0.0030
2025-07-10 16:07:39,get_all_validators,0.4344,0.54,0.0012
2025-07-10 16:07:49,checkValidator,0.4519,0.48,0.0019
2025-07-10 16:07:50,get_all_validators,0.3819,0.60,0.0011
2025-07-10 16:08:00,checkValidator,0.4718,0.46,0.0028
2025-07-10 16:08:01,get_all_validators,0.3666,0.57,0.0010
2025-07-10 16:08:12,checkValidator,0.7020,0.51,0.0023
2025-07-10 16:08:13,get_all_validators,0.3567,0.57,0.0009
2025-07-10 16:08:23,checkValidator,0.4215,0.51,0.0028
2025-07-10 16:08:24,get_all_validators,0.3713,0.60,0.0010
2025-07-10 16:08:34,checkValidator,0.4020,0.48,0.0028
2025-07-10 16:08:35,get_all_validators,0.3628,0.60,0.0010
2025-07-10 16:08:45,checkValidator,0.4583,0.46,0.0024
2025-07-10 16:08:46,get_all_validators,0.3546,0.54,0.0010
2025-07-10 16:08:57,checkValidator,0.4061,0.51,0.0026
2025-07-10 16:08:57,get_all_validators,0.3698,0.57,0.0011
2025-07-10 16:09:08,checkValidator,0.4162,0.51,0.0026
2025-07-10 16:09:08,get_all_validators,0.3505,0.60,0.0010
2025-07-10 16:09:19,checkValidator,0.5665,0.46,0.0027
2025-07-10 16:09:20,get_all_validators,0.3743,0.54,0.0010
2025-07-10 16:09:30,checkValidator,0.3984,0.51,0.0027
2025-07-10 16:09:31,get_all_validators,0.3687,0.57,0.0009
2025-07-10 16:09:41,checkValidator,0.4088,0.46,0.0027
2025-07-10 16:09:42,get_all_validators,0.3561,0.60,0.0010
2025-07-10 16:09:52,checkValidator,0.4082,0.48,0.0024
2025-07-10 16:09:53,get_all_validators,0.3551,0.60,0.0010
2025-07-10 16:10:04,checkValidator,0.4568,0.51,0.0028
2025-07-10 16:10:04,get_all_validators,0.3655,0.57,0.0009
2025-07-10 16:10:15,checkValidator,0.4781,0.51,0.0019
2025-07-10 16:10:16,get_all_validators,0.3750,0.54,0.0010
2025-07-10 16:10:26,checkValidator,0.6585,0.51,0.0025
2025-07-10 16:10:27,get_all_validators,0.3798,0.57,0.0010
2025-07-10 16:10:38,checkValidator,0.4638,0.46,0.0020
2025-07-10 16:10:38,get_all_validators,0.3640,0.60,0.0010
2025-07-10 16:10:49,checkValidator,0.4847,0.51,0.0030
2025-07-10 16:10:50,get_all_validators,0.4902,0.60,0.0012
2025-07-10 16:11:00,checkValidator,0.4596,0.42,0.0019
2025-07-10 16:11:01,get_all_validators,0.3860,0.54,0.0010
2025-07-10 16:11:11,checkValidator,0.4171,0.51,0.0038
2025-07-10 16:11:12,get_all_validators,0.3625,0.57,0.0009
2025-07-10 16:11:22,checkValidator,0.4316,0.51,0.0023
2025-07-10 16:11:23,get_all_validators,0.3632,0.60,0.0010
2025-07-10 16:11:34,checkValidator,0.5040,0.51,0.0024
2025-07-10 16:11:34,get_all_validators,0.3642,0.60,0.0010
2025-07-10 16:11:45,checkValidator,0.4710,0.51,0.0037
2025-07-10 16:11:46,get_all_validators,0.3641,0.57,0.0010
2025-07-10 16:11:56,checkValidator,0.4173,0.51,0.0038
2025-07-10 16:11:57,get_all_validators,0.3627,0.60,0.0010
