timestamp,function,duration_seconds,memory_kb,cpu_time_seconds
2025-07-10 14:41:16,generate_keys,0.0672,104.67,0.0639
2025-07-10 14:43:45,sign_identity,0.2021,2224.96,0.1877
2025-07-10 14:43:52,acknowledgement,0.3846,101.25,0.0078
2025-07-10 14:43:54,load_enode_address,0.0001,0.25,0.0001
2025-07-10 14:44:39,register_node,54.2157,0.00,0.2032
2025-07-10 14:44:46,checkValidator,0.7021,0.51,0.0037
2025-07-10 14:44:47,get_all_validators,0.3844,0.65,0.0010
2025-07-10 14:44:57,checkValidator,0.4417,0.46,0.0033
2025-07-10 14:44:58,get_all_validators,0.4105,0.65,0.0013
2025-07-10 14:45:09,checkValidator,0.4155,0.51,0.0021
2025-07-10 14:45:10,get_all_validators,0.3868,0.56,0.0011
2025-07-10 14:45:20,checkValidator,0.4138,0.51,0.0023
2025-07-10 14:45:21,get_all_validators,0.4016,0.65,0.0012
2025-07-10 14:45:31,checkValidator,0.3945,0.48,0.0016
2025-07-10 14:45:32,get_all_validators,0.3664,0.65,0.0011
2025-07-10 14:45:42,checkValidator,0.4506,0.51,0.0039
2025-07-10 14:45:43,get_all_validators,0.3608,0.62,0.0009
2025-07-10 14:45:54,checkValidator,0.4401,0.51,0.0021
2025-07-10 14:45:54,get_all_validators,0.4052,0.65,0.0012
2025-07-10 14:45:56,sign_identity,0.1981,2225.62,0.1828
2025-07-10 14:46:05,checkValidator,0.4192,0.51,0.0025
2025-07-10 14:46:05,get_all_validators,0.3619,0.65,0.0010
2025-07-10 14:46:12,read_data,15.8522,0.00,0.1963
2025-07-10 14:46:16,checkValidator,0.4428,0.51,0.0027
2025-07-10 14:46:17,get_all_validators,0.3952,0.62,0.0010
2025-07-10 14:46:27,checkValidator,0.4345,0.51,0.0024
2025-07-10 14:46:28,get_all_validators,0.4824,0.65,0.0011
2025-07-10 14:46:38,checkValidator,0.4337,0.51,0.0022
2025-07-10 14:46:39,get_all_validators,0.3765,0.62,0.0010
2025-07-10 14:46:47,sign_identity,0.2123,2225.46,0.1952
2025-07-10 14:46:49,write_data,2.5945,0.00,0.2078
2025-07-10 14:46:50,checkValidator,0.4135,0.51,0.0010
2025-07-10 14:46:50,get_all_validators,0.3615,0.65,0.0010
2025-07-10 14:47:01,checkValidator,0.4398,0.51,0.0037
2025-07-10 14:47:02,get_all_validators,0.3615,0.65,0.0010
2025-07-10 14:47:12,checkValidator,0.4255,0.51,0.0038
2025-07-10 14:47:13,get_all_validators,0.3675,0.62,0.0009
2025-07-10 14:47:23,checkValidator,0.4192,0.51,0.0038
2025-07-10 14:47:24,get_all_validators,0.3726,0.65,0.0010
2025-07-10 14:47:34,checkValidator,0.4341,0.48,0.0036
2025-07-10 14:47:35,get_all_validators,0.3765,0.59,0.0011
2025-07-10 14:47:46,checkValidator,0.4422,0.51,0.0040
2025-07-10 14:47:46,get_all_validators,0.3563,0.62,0.0009
2025-07-10 14:47:57,checkValidator,0.4231,0.51,0.0039
2025-07-10 14:47:57,get_all_validators,0.3550,0.59,0.0009
2025-07-10 14:48:08,checkValidator,0.4192,0.51,0.0039
2025-07-10 14:48:09,get_all_validators,0.3611,0.59,0.0010
2025-07-10 14:48:19,checkValidator,0.4134,0.51,0.0039
2025-07-10 14:48:20,get_all_validators,0.3703,0.59,0.0010
2025-07-10 14:48:30,checkValidator,0.4143,0.51,0.0024
2025-07-10 14:48:31,get_all_validators,0.3695,0.62,0.0010
2025-07-10 14:48:41,checkValidator,0.4243,0.51,0.0038
2025-07-10 14:48:42,get_all_validators,0.3586,0.59,0.0010
2025-07-10 14:48:53,checkValidator,0.4105,0.48,0.0038
2025-07-10 14:48:53,get_all_validators,0.3586,0.59,0.0010
2025-07-10 14:49:04,checkValidator,0.4358,0.51,0.0038
2025-07-10 14:49:04,get_all_validators,0.3814,0.65,0.0010
2025-07-10 14:49:15,checkValidator,0.4475,0.46,0.0026
2025-07-10 14:49:16,get_all_validators,0.3676,0.65,0.0010
2025-07-10 14:49:26,checkValidator,0.3811,0.48,0.0010
2025-07-10 14:49:27,get_all_validators,0.3753,0.59,0.0010
2025-07-10 14:49:37,checkValidator,0.4352,0.51,0.0039
2025-07-10 14:49:38,get_all_validators,0.3626,0.59,0.0010
2025-07-10 14:49:45,sign_identity,0.2082,2224.60,0.1900
2025-07-10 14:49:47,remove_data,2.6798,0.00,0.2025
2025-07-10 14:49:48,checkValidator,0.4262,0.51,0.0023
2025-07-10 14:49:49,get_all_validators,0.3792,0.62,0.0010
2025-07-10 14:50:00,checkValidator,0.4392,0.51,0.0037
2025-07-10 14:50:00,get_all_validators,0.3591,0.65,0.0010
2025-07-10 14:50:11,checkValidator,0.4241,0.51,0.0022
2025-07-10 14:50:12,get_all_validators,0.3988,0.59,0.0010
2025-07-10 14:50:16,sign_identity,0.2032,2223.93,0.1888
2025-07-10 14:50:18,update_data,2.5310,0.00,0.2035
2025-07-10 14:50:22,checkValidator,0.4268,0.46,0.0029
2025-07-10 14:50:23,get_all_validators,0.3732,0.65,0.0010
2025-07-10 14:50:33,checkValidator,0.4162,0.48,0.0030
2025-07-10 14:50:34,get_all_validators,0.3783,0.65,0.0010
2025-07-10 14:50:44,checkValidator,0.4486,0.51,0.0038
2025-07-10 14:50:45,get_all_validators,0.3764,0.56,0.0009
2025-07-10 14:50:56,checkValidator,0.4222,0.46,0.0035
2025-07-10 14:50:56,get_all_validators,0.3585,0.65,0.0010
2025-07-10 14:51:07,checkValidator,0.4154,0.51,0.0031
2025-07-10 14:51:08,get_all_validators,0.3854,0.59,0.0010
2025-07-10 14:51:18,checkValidator,0.4221,0.46,0.0028
2025-07-10 14:51:19,get_all_validators,0.3650,0.65,0.0010
2025-07-10 14:51:29,checkValidator,0.4422,0.51,0.0025
2025-07-10 14:51:30,get_all_validators,0.3843,0.65,0.0011
2025-07-10 14:51:37,check_smart_contract,0.0006,1.31,0.0002
2025-07-10 14:51:38,check_smart_contract_deployment,0.4099,0.67,0.0018
2025-07-10 14:51:38,is_node_registered_js,0.3788,0.70,0.0009
2025-07-10 14:51:39,get_node_details_js,0.4051,2.07,0.0010
2025-07-10 14:51:39,check_token_availability,0.3909,0.64,0.0015
2025-07-10 14:51:40,checkValidator,0.4181,38.77,0.0018
2025-07-10 14:51:41,get_all_validators,0.3579,0.59,0.0010
2025-07-10 14:51:42,issue_capability_token,2.6265,0.00,0.0054
2025-07-10 14:51:47,get_capability_token,0.4208,0.65,0.0043
2025-07-10 14:51:47,read,9.6457,0.00,0.0191
2025-07-10 14:51:52,checkValidator,0.4191,0.51,0.0023
2025-07-10 14:51:52,get_all_validators,0.3727,0.65,0.0010
2025-07-10 14:52:03,checkValidator,0.4221,0.51,0.0018
2025-07-10 14:52:04,get_all_validators,0.3900,0.65,0.0011
2025-07-10 14:52:14,checkValidator,0.4193,0.51,0.0024
2025-07-10 14:52:15,get_all_validators,0.4121,0.65,0.0011
2025-07-10 14:52:20,check_smart_contract,0.0001,1.34,0.0001
2025-07-10 14:52:21,check_smart_contract_deployment,0.4484,0.48,0.0019
2025-07-10 14:52:21,is_node_registered_js,0.3952,0.51,0.0010
2025-07-10 14:52:22,get_node_details_js,0.3949,1.57,0.0010
2025-07-10 14:52:22,check_token_availability,0.3870,0.64,0.0010
2025-07-10 14:52:22,check_token_expiry,0.3841,0.58,0.0010
2025-07-10 14:52:23,get_capability_token,0.4935,0.89,0.0012
2025-07-10 14:52:23,write,2.5077,0.00,0.0091
2025-07-10 14:52:25,checkValidator,0.4206,0.48,0.0021
2025-07-10 14:52:26,get_all_validators,0.3722,0.59,0.0010
2025-07-10 14:52:36,checkValidator,0.4064,0.51,0.0027
2025-07-10 14:52:37,get_all_validators,0.3735,0.65,0.0010
2025-07-10 14:52:44,check_smart_contract,0.0002,1.31,0.0001
2025-07-10 14:52:45,check_smart_contract_deployment,0.4406,0.48,0.0018
2025-07-10 14:52:45,is_node_registered_js,0.4031,0.51,0.0010
2025-07-10 14:52:46,get_node_details_js,0.5134,1.69,0.0010
2025-07-10 14:52:46,check_token_availability,0.4074,0.64,0.0010
2025-07-10 14:52:46,check_token_expiry,0.3912,0.51,0.0010
2025-07-10 14:52:47,get_capability_token,0.3957,0.71,0.0011
2025-07-10 14:52:47,remove,2.5586,0.00,0.0093
2025-07-10 14:52:48,checkValidator,0.4210,0.46,0.0019
2025-07-10 14:52:48,get_all_validators,0.3797,0.65,0.0010
2025-07-10 14:52:59,checkValidator,0.7625,0.51,0.0026
2025-07-10 14:53:00,get_all_validators,0.3947,0.59,0.0010
2025-07-10 14:53:10,check_smart_contract,0.0005,1.31,0.0001
2025-07-10 14:53:10,check_smart_contract_deployment,0.4139,38.26,0.0024
2025-07-10 14:53:10,checkValidator,0.3997,35.45,0.0022
2025-07-10 14:53:11,is_node_registered_js,0.3961,0.00,0.0018
2025-07-10 14:53:11,get_node_details_js,0.4090,37.59,0.0020
2025-07-10 14:53:11,get_all_validators,0.3925,35.69,0.0022
2025-07-10 14:53:11,check_token_availability,0.3928,0.00,0.0014
2025-07-10 14:53:12,check_token_expiry,0.3817,0.48,0.0011
2025-07-10 14:53:12,get_capability_token,0.3779,0.71,0.0011
2025-07-10 14:53:12,update,2.3774,0.00,0.0120
2025-07-10 14:53:22,checkValidator,0.4171,0.51,0.0038
2025-07-10 14:53:22,get_all_validators,0.3603,0.65,0.0010
2025-07-10 14:53:33,checkValidator,0.4224,0.51,0.0033
2025-07-10 14:53:34,get_all_validators,0.3821,0.65,0.0010
2025-07-10 14:53:44,checkValidator,0.4048,0.51,0.0019
2025-07-10 14:53:45,get_all_validators,0.3913,0.62,0.0009
2025-07-10 14:53:55,checkValidator,0.4222,0.51,0.0037
2025-07-10 14:53:56,get_all_validators,0.3582,0.65,0.0010
2025-07-10 14:54:06,checkValidator,0.4324,0.48,0.0026
2025-07-10 14:54:07,get_all_validators,0.3572,0.65,0.0010
2025-07-10 14:54:18,checkValidator,0.4261,0.51,0.0038
2025-07-10 14:54:19,get_all_validators,0.6408,0.59,0.0011
2025-07-10 14:54:29,checkValidator,0.5404,0.51,0.0019
2025-07-10 14:54:30,get_all_validators,0.3941,0.62,0.0011
2025-07-10 14:54:40,checkValidator,0.4199,0.51,0.0037
2025-07-10 14:54:41,get_all_validators,0.3577,0.65,0.0010
2025-07-10 14:54:51,checkValidator,0.4128,0.51,0.0038
2025-07-10 14:54:52,get_all_validators,0.3578,0.59,0.0010
2025-07-10 14:55:03,checkValidator,0.4235,0.51,0.0035
2025-07-10 14:55:03,get_all_validators,0.3590,0.62,0.0010
2025-07-10 14:55:14,checkValidator,0.4344,0.51,0.0026
2025-07-10 14:55:15,get_all_validators,0.3871,0.65,0.0010
2025-07-10 14:55:25,checkValidator,0.6695,0.51,0.0037
2025-07-10 14:55:26,get_all_validators,0.3673,0.65,0.0010
2025-07-10 14:55:37,checkValidator,0.4153,0.48,0.0023
2025-07-10 14:55:37,get_all_validators,0.3777,0.65,0.0010
2025-07-10 14:55:48,checkValidator,0.4045,0.46,0.0034
2025-07-10 14:55:48,get_all_validators,0.3529,0.59,0.0010
2025-07-10 14:55:59,checkValidator,0.4289,0.51,0.0037
2025-07-10 14:56:00,get_all_validators,0.4150,0.65,0.0010
2025-07-10 14:56:10,checkValidator,0.4074,0.48,0.0037
2025-07-10 14:56:11,get_all_validators,0.3751,0.65,0.0010
2025-07-10 14:56:21,checkValidator,0.4032,0.51,0.0012
2025-07-10 14:56:22,get_all_validators,0.4033,0.65,0.0010
2025-07-10 14:56:23,check_smart_contract,0.0001,0.00,0.0001
2025-07-10 14:56:24,check_smart_contract_deployment,0.4195,0.48,0.0011
2025-07-10 14:56:24,verify_node_identity,0.1847,2211.19,0.1766
2025-07-10 14:56:24,is_node_registered_js,0.3950,0.48,0.0010
2025-07-10 14:56:31,register_node_on_chain,6.6277,0.79,0.0026
2025-07-10 14:56:31,get_all_validators,0.3908,0.62,0.0010
2025-07-10 14:56:32,get_enode,0.2246,30.31,0.0088
2025-07-10 14:56:32,send_acknowledgment,0.4514,0.00,0.0110
2025-07-10 14:56:32,checkValidator,0.4240,38.04,0.0021
2025-07-10 14:56:32,checkValidator,0.4064,35.44,0.0024
2025-07-10 14:56:33,get_all_validators,0.3972,0.00,0.0019
2025-07-10 14:56:33,get_peers,0.4062,36.22,0.0023
2025-07-10 14:56:33,get_all_validators,0.4099,35.55,0.0025
2025-07-10 14:56:33,get_peers,0.3937,0.00,0.0015
2025-07-10 14:56:39,get_peers,0.4003,0.48,0.0012
2025-07-10 14:56:44,checkValidator,0.4391,0.51,0.0027
2025-07-10 14:56:44,get_peers,0.3884,36.22,0.0022
2025-07-10 14:56:44,get_all_validators,0.3829,0.00,0.0014
2025-07-10 14:56:50,get_peers,0.3870,0.51,0.0022
2025-07-10 14:56:55,checkValidator,0.4164,35.89,0.0025
2025-07-10 14:56:55,get_peers,0.3916,0.00,0.0019
2025-07-10 14:56:56,get_all_validators,0.3686,0.59,0.0011
2025-07-10 14:57:00,get_peers,0.4155,0.51,0.0019
2025-07-10 14:57:06,get_peers,0.4149,38.01,0.0035
2025-07-10 14:57:06,checkValidator,0.3886,0.00,0.0014
2025-07-10 14:57:07,get_all_validators,0.4067,0.65,0.0011
2025-07-10 14:57:11,get_peers,0.3873,0.51,0.0020
2025-07-10 14:57:17,get_peers,0.4272,0.51,0.0012
2025-07-10 14:57:17,checkValidator,0.4040,0.51,0.0012
2025-07-10 14:57:18,get_all_validators,0.3592,0.65,0.0010
2025-07-10 14:57:22,get_peers,0.3949,0.51,0.0025
2025-07-10 14:57:28,get_peers,0.3893,0.48,0.0012
2025-07-10 14:57:28,checkValidator,0.4021,0.51,0.0027
2025-07-10 14:57:29,get_all_validators,0.3583,0.65,0.0010
2025-07-10 14:57:33,get_peers,0.5672,0.51,0.0019
2025-07-10 14:57:39,get_peers,0.3976,0.48,0.0011
2025-07-10 14:57:40,checkValidator,0.4656,0.51,0.0029
2025-07-10 14:57:40,get_all_validators,0.3628,0.65,0.0010
2025-07-10 14:57:44,get_peers,0.4066,0.51,0.0020
2025-07-10 14:57:49,get_peers,0.3851,0.51,0.0011
2025-07-10 14:57:51,checkValidator,0.4313,0.51,0.0026
2025-07-10 14:57:52,get_all_validators,0.3577,0.62,0.0010
2025-07-10 14:57:55,get_peers,0.3914,0.51,0.0012
2025-07-10 14:58:00,get_peers,0.3875,0.48,0.0016
2025-07-10 14:58:02,checkValidator,0.4010,0.51,0.0017
2025-07-10 14:58:03,get_all_validators,0.3800,0.65,0.0011
2025-07-10 14:58:05,get_peers,0.3921,0.51,0.0023
2025-07-10 14:58:11,get_peers,0.3944,0.51,0.0034
2025-07-10 14:58:13,checkValidator,0.3938,0.48,0.0020
2025-07-10 14:58:14,get_all_validators,0.3626,0.65,0.0010
2025-07-10 14:58:16,get_peers,0.3905,0.51,0.0034
2025-07-10 14:58:22,get_peers,0.4199,0.51,0.0034
2025-07-10 14:58:24,checkValidator,0.4609,0.51,0.0022
2025-07-10 14:58:25,get_all_validators,0.3681,0.62,0.0010
2025-07-10 14:58:27,get_peers,0.4096,0.48,0.0030
2025-07-10 14:58:33,get_peers,0.4069,0.51,0.0043
2025-07-10 14:58:35,checkValidator,0.4049,0.51,0.0018
2025-07-10 14:58:36,get_all_validators,0.3763,0.65,0.0010
2025-07-10 14:58:38,get_peers,0.4239,0.51,0.0031
2025-07-10 14:58:44,get_peers,0.5552,0.51,0.0043
2025-07-10 14:58:47,checkValidator,0.4500,0.48,0.0012
2025-07-10 14:58:47,get_all_validators,0.3580,0.65,0.0010
2025-07-10 14:58:49,get_peers,0.4054,0.51,0.0030
2025-07-10 14:58:54,get_peers,0.4164,0.51,0.0044
2025-07-10 14:58:58,checkValidator,0.3972,0.51,0.0023
2025-07-10 14:58:59,get_all_validators,0.3646,0.65,0.0010
2025-07-10 14:59:00,get_peers,0.4023,0.51,0.0035
2025-07-10 14:59:05,get_peers,0.4078,0.48,0.0043
2025-07-10 14:59:09,checkValidator,0.4000,0.51,0.0020
2025-07-10 14:59:10,get_all_validators,0.3704,0.62,0.0010
2025-07-10 14:59:11,get_peers,0.4079,0.46,0.0044
2025-07-10 14:59:16,get_peers,0.4098,0.51,0.0027
2025-07-10 14:59:20,checkValidator,0.4074,0.51,0.0018
2025-07-10 14:59:21,get_all_validators,0.3718,0.65,0.0010
2025-07-10 14:59:21,get_peers,0.3969,0.51,0.0026
2025-07-10 14:59:27,get_peers,0.5437,0.51,0.0028
