timestamp,function,duration_seconds,memory_kb,cpu_time_seconds
2025-07-10 14:55:37,generate_keys,0.0718,104.77,0.0677
2025-07-10 14:56:23,sign_identity,0.1961,2224.93,0.1832
2025-07-10 14:56:32,acknowledgement,0.2176,101.25,0.0079
2025-07-10 14:56:34,load_enode_address,0.0001,0.25,0.0001
2025-07-10 14:56:41,start_blockchain_node,7.2718,0.00,0.0015
2025-07-10 14:57:52,load_enode_address,0.0001,0.25,0.0001
2025-07-10 14:57:59,start_blockchain_node,6.8695,0.00,0.0015
2025-07-10 15:00:11,load_enode_address,0.0001,0.25,0.0001
2025-07-10 15:00:58,register_node,275.1179,0.00,0.1975
2025-07-10 15:01:05,checkValidator,0.6778,0.51,0.0036
2025-07-10 15:01:06,get_all_validators,0.3709,0.67,0.0010
2025-07-10 15:01:16,checkValidator,0.4063,0.51,0.0015
2025-07-10 15:01:17,get_all_validators,0.3738,0.70,0.0010
2025-07-10 15:01:27,checkValidator,0.4368,0.51,0.0030
2025-07-10 15:01:28,get_all_validators,0.3640,0.70,0.0010
2025-07-10 15:01:38,checkValidator,0.4389,0.51,0.0039
2025-07-10 15:01:39,get_all_validators,0.3510,0.67,0.0009
2025-07-10 15:01:50,checkValidator,0.4191,0.51,0.0030
2025-07-10 15:01:50,get_all_validators,0.3697,0.70,0.0010
2025-07-10 15:02:01,checkValidator,0.4343,0.48,0.0028
2025-07-10 15:02:02,get_all_validators,0.3612,0.70,0.0010
2025-07-10 15:02:12,checkValidator,0.4157,0.51,0.0037
2025-07-10 15:02:13,get_all_validators,0.3661,0.67,0.0010
2025-07-10 15:02:23,checkValidator,0.4438,0.51,0.0026
2025-07-10 15:02:24,get_all_validators,0.3829,0.70,0.0011
2025-07-10 15:02:34,checkValidator,0.4449,0.51,0.0020
2025-07-10 15:02:35,get_all_validators,0.3826,0.70,0.0011
2025-07-10 15:02:46,checkValidator,0.4387,0.51,0.0040
2025-07-10 15:02:46,get_all_validators,0.3957,0.67,0.0011
2025-07-10 15:02:57,checkValidator,0.4359,0.51,0.0039
2025-07-10 15:02:58,get_all_validators,0.3706,0.70,0.0010
2025-07-10 15:03:08,checkValidator,0.4185,0.51,0.0020
2025-07-10 15:03:09,get_all_validators,0.3595,0.70,0.0010
2025-07-10 15:03:19,checkValidator,0.4105,0.51,0.0019
2025-07-10 15:03:20,get_all_validators,0.3904,0.70,0.0010
2025-07-10 15:03:21,check_smart_contract,0.0001,0.00,0.0000
2025-07-10 15:03:22,check_smart_contract_deployment,0.4421,0.67,0.0012
2025-07-10 15:03:22,verify_node_identity,0.1936,2223.68,0.1833
2025-07-10 15:03:22,is_node_registered_js,0.4252,0.51,0.0010
2025-07-10 15:03:30,checkValidator,0.4395,38.24,0.0016
2025-07-10 15:03:31,get_all_validators,0.3639,0.61,0.0010
2025-07-10 15:03:36,register_node_on_chain,13.7554,0.00,0.0069
2025-07-10 15:03:36,get_all_validators,0.3710,0.70,0.0011
2025-07-10 15:03:37,get_enode,0.0677,30.18,0.0083
2025-07-10 15:03:37,send_acknowledgment,0.2939,0.00,0.0104
2025-07-10 15:03:37,checkValidator,0.4035,0.51,0.0011
2025-07-10 15:03:37,register_node,15.8917,0.00,0.2095
2025-07-10 15:03:42,checkValidator,0.4253,0.51,0.0011
2025-07-10 15:03:42,get_all_validators,0.3993,0.70,0.0011
2025-07-10 15:03:53,checkValidator,0.4081,0.51,0.0012
2025-07-10 15:03:54,get_all_validators,0.4029,0.70,0.0013
2025-07-10 15:04:04,checkValidator,0.4208,0.51,0.0026
2025-07-10 15:04:05,get_all_validators,0.3996,0.70,0.0010
2025-07-10 15:04:15,checkValidator,0.4204,0.48,0.0039
2025-07-10 15:04:16,get_all_validators,0.3582,0.70,0.0010
2025-07-10 15:04:27,checkValidator,0.4265,0.51,0.0025
2025-07-10 15:04:27,get_all_validators,0.4011,0.70,0.0011
2025-07-10 15:04:38,checkValidator,0.4132,0.51,0.0011
2025-07-10 15:04:38,get_all_validators,0.3871,0.70,0.0011
2025-07-10 15:04:49,checkValidator,0.4466,0.51,0.0011
2025-07-10 15:04:50,get_all_validators,0.3846,0.70,0.0011
2025-07-10 15:05:00,checkValidator,0.3959,0.51,0.0014
2025-07-10 15:05:01,get_all_validators,0.3682,0.67,0.0011
2025-07-10 15:05:11,checkValidator,0.3801,0.51,0.0010
2025-07-10 15:05:12,get_all_validators,0.3701,0.70,0.0010
2025-07-10 15:05:22,checkValidator,0.4627,0.48,0.0010
2025-07-10 15:05:23,get_all_validators,0.3672,0.70,0.0010
2025-07-10 15:05:34,checkValidator,0.4127,0.51,0.0010
2025-07-10 15:05:34,get_all_validators,0.3619,0.67,0.0010
2025-07-10 15:05:45,checkValidator,0.6103,0.51,0.0011
2025-07-10 15:05:46,get_all_validators,0.4097,0.70,0.0011
2025-07-10 15:05:56,checkValidator,0.4010,0.51,0.0011
2025-07-10 15:05:57,get_all_validators,0.3706,0.61,0.0010
2025-07-10 15:06:07,checkValidator,0.4273,0.51,0.0011
2025-07-10 15:06:08,get_all_validators,0.3647,0.70,0.0011
2025-07-10 15:06:19,checkValidator,0.4158,0.51,0.0010
2025-07-10 15:06:19,get_all_validators,0.3821,0.70,0.0011
2025-07-10 15:06:30,checkValidator,0.4591,0.46,0.0011
2025-07-10 15:06:31,get_all_validators,0.4134,0.64,0.0011
2025-07-10 15:06:41,checkValidator,0.5246,0.51,0.0011
2025-07-10 15:06:42,get_all_validators,0.3795,0.70,0.0010
2025-07-10 15:06:53,checkValidator,0.3949,0.51,0.0010
2025-07-10 15:06:53,get_all_validators,0.3778,0.70,0.0011
2025-07-10 15:07:04,checkValidator,0.4058,0.51,0.0010
2025-07-10 15:07:05,get_all_validators,0.4064,0.70,0.0011
2025-07-10 15:07:15,checkValidator,0.5545,0.51,0.0011
2025-07-10 15:07:16,get_all_validators,0.3848,0.70,0.0011
2025-07-10 15:07:26,checkValidator,0.5691,0.51,0.0010
2025-07-10 15:07:27,get_all_validators,0.3893,0.64,0.0010
2025-07-10 15:07:38,checkValidator,0.4681,0.48,0.0020
2025-07-10 15:07:39,get_all_validators,0.3880,0.64,0.0011
2025-07-10 15:07:49,checkValidator,0.6822,0.46,0.0030
2025-07-10 15:07:50,get_all_validators,0.3903,0.64,0.0011
2025-07-10 15:08:01,checkValidator,0.4684,0.46,0.0038
2025-07-10 15:08:01,get_all_validators,0.3909,0.64,0.0010
2025-07-10 15:08:12,checkValidator,0.4477,0.46,0.0030
2025-07-10 15:08:13,get_all_validators,0.4058,0.70,0.0010
2025-07-10 15:08:23,checkValidator,0.6226,0.51,0.0017
2025-07-10 15:08:24,get_all_validators,0.3853,0.70,0.0010
2025-07-10 15:08:34,checkValidator,0.4014,0.51,0.0011
2025-07-10 15:08:35,get_all_validators,0.3978,0.70,0.0011
2025-07-10 15:08:46,checkValidator,0.9051,0.51,0.0028
2025-07-10 15:08:47,get_all_validators,0.4236,0.70,0.0011
2025-07-10 15:08:57,checkValidator,0.4067,0.51,0.0011
2025-07-10 15:08:58,get_all_validators,0.3963,0.70,0.0010
2025-07-10 15:09:09,checkValidator,0.3978,0.51,0.0010
2025-07-10 15:09:10,get_all_validators,0.6645,0.70,0.0011
2025-07-10 15:09:20,checkValidator,0.4817,0.51,0.0011
2025-07-10 15:09:21,get_all_validators,0.3791,0.64,0.0011
2025-07-10 15:09:31,checkValidator,0.3999,0.48,0.0010
2025-07-10 15:09:32,get_all_validators,0.3739,0.70,0.0011
2025-07-10 15:09:43,checkValidator,0.5021,0.51,0.0011
2025-07-10 15:09:44,get_all_validators,0.3664,0.61,0.0010
2025-07-10 15:09:54,checkValidator,0.4046,0.51,0.0011
2025-07-10 15:09:55,get_all_validators,0.3682,0.70,0.0010
2025-07-10 15:10:05,checkValidator,0.6337,0.46,0.0011
2025-07-10 15:10:06,get_all_validators,0.3698,0.64,0.0010
2025-07-10 15:10:17,checkValidator,0.4200,0.48,0.0010
2025-07-10 15:10:17,get_all_validators,0.4190,0.70,0.0011
2025-07-10 15:10:28,checkValidator,0.5762,0.51,0.0011
2025-07-10 15:10:29,get_all_validators,0.3808,0.70,0.0011
2025-07-10 15:10:39,checkValidator,0.4104,0.51,0.0010
2025-07-10 15:10:40,get_all_validators,0.3918,0.70,0.0011
2025-07-10 15:10:51,checkValidator,0.7957,0.51,0.0027
2025-07-10 15:10:52,get_all_validators,0.3912,0.61,0.0010
2025-07-10 15:11:02,checkValidator,0.4136,0.51,0.0011
2025-07-10 15:11:03,get_all_validators,0.4010,0.70,0.0012
