"Time","Cloud","Fog1_Jetson@20W","Fog2_Jetson@20W","Edge1_Jetson@10W","Edge2_RapsberryPi4B"
2025-07-17 15:05:00,0.219,0.215,0.173,0.0430,0.0655
2025-07-17 15:05:15,0.227,0.215,0.173,0.0430,0.0655
2025-07-17 15:05:30,0.225,0.212,0.173,0.0430,0.0655
2025-07-17 15:05:45,0.236,0.210,0.173,0.0430,0.0655
2025-07-17 15:06:00,0.232,0.208,0.173,0.0430,0.0655
2025-07-17 15:06:15,0.232,0.207,0.173,0.0430,0.0655
2025-07-17 15:06:30,0.234,0.205,0.173,0.0430,0.0655
2025-07-17 15:06:45,0.232,0.204,0.173,0.0430,0.0655
2025-07-17 15:07:00,0.232,0.202,0.173,0.0430,0.0655
2025-07-17 15:07:15,0.234,0.200,0.173,0.0430,0.0655
2025-07-17 15:07:30,0.232,0.197,0.173,0.0430,0.0655
2025-07-17 15:07:45,0.232,0.195,0.173,0.0430,0.0655
2025-07-17 15:08:00,0.234,0.194,0.173,0.0430,0.0655
2025-07-17 15:08:15,0.243,0.192,0.173,0.0430,0.0655
2025-07-17 15:08:30,0.235,0.184,0.173,0.0430,0.0655
2025-07-17 15:08:45,0.239,0.189,0.173,0.0430,0.0655
2025-07-17 15:09:00,0.236,0.189,0.173,0.0430,0.0655
2025-07-17 15:09:15,0.228,0.189,0.173,0.0430,0.0655
2025-07-17 15:09:30,0.232,0.187,0.173,0.0430,0.0655
2025-07-17 15:09:45,0.240,0.192,0.173,0.0430,0.0655
2025-07-17 15:10:00,0.242,0.177,0.173,0.0430,0.0655
2025-07-17 15:10:15,0.253,0.177,0.173,0.0430,0.0655
2025-07-17 15:10:30,0.247,0.181,0.173,0.0430,0.0655
2025-07-17 15:10:45,0.251,0.181,0.174,0.0430,0.0655
2025-07-17 15:11:00,0.253,0.192,0.183,0.0430,0.0655
2025-07-17 15:11:15,0.256,0.189,0.180,0.0430,0.0655
2025-07-17 15:11:30,0.256,0.191,0.178,0.0430,0.0655
2025-07-17 15:11:45,0.257,0.181,0.177,0.0430,0.0655
2025-07-17 15:12:00,0.251,0.174,0.174,0.0430,0.0655
2025-07-17 15:12:15,0.251,0.179,0.174,0.0430,0.0655
2025-07-17 15:12:30,0.257,0.182,0.178,0.0430,0.0655
2025-07-17 15:12:45,0.256,0.178,0.172,0.0430,0.0655
2025-07-17 15:13:00,0.251,0.187,0.165,0.0430,0.0655
2025-07-17 15:13:15,0.253,0.188,0.165,0.0430,0.0655
2025-07-17 15:13:30,0.256,0.193,0.178,0.0430,0.0655
2025-07-17 15:13:45,0.256,0.192,0.176,0.0433,0.0655
2025-07-17 15:14:00,0.257,0.192,0.176,0.0434,0.0655
2025-07-17 15:14:15,0.256,0.187,0.167,0.0397,0.0655
2025-07-17 15:14:30,0.251,0.187,0.160,0.0549,0.0655
2025-07-17 15:14:45,0.251,0.187,0.161,0.0549,0.0655
2025-07-17 15:15:00,0.251,0.188,0.164,0.0557,0.0655
2025-07-17 15:15:15,0.256,0.192,0.167,0.0565,0.0655
2025-07-17 15:15:30,0.255,0.186,0.165,0.0506,0.0655
2025-07-17 15:15:45,0.251,0.186,0.168,0.0489,0.0655
2025-07-17 15:16:00,0.251,0.186,0.170,0.0489,0.0655
2025-07-17 15:16:15,0.251,0.186,0.170,0.0464,0.0655
2025-07-17 15:16:30,0.253,0.191,0.176,0.0532,0.0478
2025-07-17 15:16:45,0.260,0.190,0.176,0.0464,0.0479
2025-07-17 15:17:00,0.259,0.186,0.170,0.0447,0.0471
2025-07-17 15:17:15,0.252,0.188,0.165,0.0456,0.0624
2025-07-17 15:17:30,0.252,0.186,0.165,0.0413,0.0624
2025-07-17 15:17:45,0.252,0.187,0.165,0.0447,0.0624
2025-07-17 15:18:00,0.254,0.191,0.166,0.0464,0.0633
2025-07-17 15:18:15,0.259,0.191,0.170,0.0481,0.0650
2025-07-17 15:18:30,0.258,0.186,0.168,0.0456,0.0599
2025-07-17 15:18:45,0.253,0.186,0.163,0.0548,0.0565
2025-07-17 15:19:00,0.253,0.186,0.161,0.0549,0.0565
2025-07-17 15:19:15,0.257,0.191,0.162,0.0557,0.0591
2025-07-17 15:19:30,0.260,0.191,0.165,0.0574,0.0624
2025-07-17 15:19:45,0.259,0.186,0.162,0.0549,0.0565
2025-07-17 15:20:00,0.256,0.186,0.157,0.0549,0.0532
2025-07-17 15:20:15,0.256,0.187,0.161,0.0557,0.0608
2025-07-17 15:20:30,0.259,0.191,0.165,0.0574,0.0523
2025-07-17 15:20:45,0.263,0.186,0.159,0.0548,0.0473
2025-07-17 15:21:00,0.258,0.186,0.154,0.0549,0.0464
2025-07-17 15:21:15,0.258,0.186,0.154,0.0549,0.0532
2025-07-17 15:21:30,0.258,0.186,0.154,0.0549,0.0532
2025-07-17 15:21:45,0.259,0.189,0.156,0.0557,0.0557
2025-07-17 15:22:00,0.262,0.194,0.160,0.0571,0.0616
2025-07-17 15:22:15,0.271,0.194,0.155,0.0571,0.0650
2025-07-17 15:22:30,0.271,0.196,0.156,0.0571,0.0481
2025-07-17 15:22:45,0.270,0.196,0.156,0.0571,0.0480
2025-07-17 15:23:00,0.270,0.196,0.156,0.0571,0.0479
2025-07-17 15:23:15,0.270,0.197,0.157,0.0570,0.0478
2025-07-17 15:23:30,0.270,0.197,0.157,0.0575,0.0477
2025-07-17 15:23:45,0.270,0.197,0.157,0.0575,0.0477
2025-07-17 15:24:00,0.270,0.197,0.157,0.0575,0.0477
2025-07-17 15:24:15,0.270,0.197,0.157,0.0575,0.0477
2025-07-17 15:24:30,0.270,0.197,0.157,0.0575,0.0477
2025-07-17 15:24:45,0.270,0.197,0.157,0.0575,0.0477
2025-07-17 15:25:00,0.260,0.197,0.157,0.0575,0.0477
2025-07-17 15:25:15,0.260,0.197,0.157,0.0575,0.0477
2025-07-17 15:25:30,0.247,0.197,0.157,0.0575,0.0477
2025-07-17 15:25:45,0.246,0.197,0.157,0.0575,0.0477
