"Time","Cloud","Fog1_Jetson@20W","Fog2_Jetson@20W","Edge1_Jetson@10W","Edge2_RapsberryPi4B"
2025-07-17 15:05:00,0.0173,0.0132,0.00100,0.00107,0.00103
2025-07-17 15:05:15,0.0175,0.0132,0.00100,0.00107,0.00103
2025-07-17 15:05:30,0.0175,0.0132,0.00100,0.00107,0.00103
2025-07-17 15:05:45,0.0177,0.0130,0.00100,0.00107,0.00103
2025-07-17 15:06:00,0.0181,0.0129,0.00100,0.00107,0.00103
2025-07-17 15:06:15,0.0181,0.0128,0.00100,0.00107,0.00103
2025-07-17 15:06:30,0.0180,0.0127,0.00100,0.00107,0.00103
2025-07-17 15:06:45,0.0183,0.0126,0.00100,0.00107,0.00103
2025-07-17 15:07:00,0.0184,0.0126,0.00100,0.00107,0.00103
2025-07-17 15:07:15,0.0184,0.0125,0.00100,0.00107,0.00103
2025-07-17 15:07:30,0.0185,0.0125,0.00100,0.00107,0.00103
2025-07-17 15:07:45,0.0186,0.0124,0.00100,0.00107,0.00103
2025-07-17 15:08:00,0.0185,0.0123,0.00100,0.00107,0.00103
2025-07-17 15:08:15,0.0185,0.0123,0.00100,0.00107,0.00103
2025-07-17 15:08:30,0.0189,0.0122,0.00100,0.00107,0.00103
2025-07-17 15:08:45,0.0188,0.0122,0.00100,0.00107,0.00103
2025-07-17 15:09:00,0.0178,0.0143,0.00100,0.00107,0.00103
2025-07-17 15:09:15,0.0184,0.0144,0.00100,0.00107,0.00103
2025-07-17 15:09:30,0.0181,0.0146,0.00100,0.00107,0.00103
2025-07-17 15:09:45,0.0178,0.0147,0.00100,0.00107,0.00103
2025-07-17 15:10:00,0.0176,0.0145,0.00100,0.00107,0.00103
2025-07-17 15:10:15,0.0172,0.0146,0.00100,0.00107,0.00103
2025-07-17 15:10:30,0.0173,0.0150,0.00100,0.00107,0.00103
2025-07-17 15:10:45,0.0174,0.0149,0.00100,0.00107,0.00103
2025-07-17 15:11:00,0.0173,0.0150,0.00100,0.00107,0.00103
2025-07-17 15:11:15,0.0174,0.0151,0.00100,0.00107,0.00103
2025-07-17 15:11:30,0.0174,0.0152,0.00100,0.00107,0.00103
2025-07-17 15:11:45,0.0174,0.0152,0.00106,0.00107,0.00103
2025-07-17 15:12:00,0.0174,0.0153,0.00106,0.00107,0.00103
2025-07-17 15:12:15,0.0174,0.0153,0.00106,0.00107,0.00103
2025-07-17 15:12:30,0.0175,0.0155,0.00104,0.00107,0.00103
2025-07-17 15:12:45,0.0169,0.0155,0.00102,0.00107,0.00103
2025-07-17 15:13:00,0.0169,0.0156,0.00103,0.00107,0.00103
2025-07-17 15:13:15,0.0168,0.0156,0.00103,0.00107,0.00103
2025-07-17 15:13:30,0.0169,0.0156,0.00103,0.00107,0.00103
2025-07-17 15:13:45,0.0173,0.0157,0.00103,0.00107,0.00103
2025-07-17 15:14:00,0.0172,0.0157,0.00104,0.00107,0.00103
2025-07-17 15:14:15,0.0175,0.0157,0.00104,0.00107,0.00103
2025-07-17 15:14:30,0.0164,0.0158,0.00106,0.00107,0.00103
2025-07-17 15:14:45,0.0169,0.0158,0.00107,0.00107,0.00103
2025-07-17 15:15:00,0.0170,0.0158,0.00107,0.00107,0.00103
2025-07-17 15:15:15,0.0169,0.0158,0.00106,0.00107,0.00103
2025-07-17 15:15:30,0.0168,0.0159,0.00106,0.00107,0.00103
2025-07-17 15:15:45,0.0166,0.0159,0.00106,0.00112,0.00103
2025-07-17 15:16:00,0.0166,0.0159,0.00106,0.00112,0.00103
2025-07-17 15:16:15,0.0178,0.0160,0.00107,0.00112,0.00103
2025-07-17 15:16:30,0.0173,0.0159,0.00111,0.00188,0.00103
2025-07-17 15:16:45,0.0172,0.0159,0.00111,0.00226,0.00103
2025-07-17 15:17:00,0.0176,0.0159,0.00110,0.00226,0.00103
2025-07-17 15:17:15,0.0175,0.0159,0.00110,0.00226,0.00103
2025-07-17 15:17:30,0.0176,0.0160,0.00110,0.00226,0.00103
2025-07-17 15:17:45,0.0183,0.0160,0.00110,0.00188,0.00103
2025-07-17 15:18:00,0.0172,0.0160,0.00110,0.00188,0.00103
2025-07-17 15:18:15,0.0173,0.0161,0.00111,0.00188,0.00103
2025-07-17 15:18:30,0.0174,0.0162,0.00111,0.00188,0.00103
2025-07-17 15:18:45,0.0174,0.0161,0.00110,0.00188,0.00101
2025-07-17 15:19:00,0.0182,0.0162,0.00110,0.00188,0.00101
2025-07-17 15:19:15,0.0183,0.0162,0.00110,0.00188,0.00234
2025-07-17 15:19:30,0.0193,0.0162,0.00110,0.00188,0.00212
2025-07-17 15:19:45,0.0177,0.0161,0.00109,0.00188,0.00246
2025-07-17 15:20:00,0.0200,0.0162,0.00108,0.00188,0.00246
2025-07-17 15:20:15,0.0247,0.0162,0.00108,0.00188,0.00204
2025-07-17 15:20:30,0.0248,0.0161,0.00109,0.00188,0.00204
2025-07-17 15:20:45,0.0248,0.0162,0.00110,0.00188,0.00241
2025-07-17 15:21:00,0.0282,0.0162,0.00111,0.00188,0.00241
2025-07-17 15:21:15,0.0288,0.0162,0.00111,0.00188,0.00241
2025-07-17 15:21:30,0.0291,0.0162,0.00111,0.00188,0.00241
2025-07-17 15:21:45,0.0328,0.0162,0.00111,0.00188,0.00241
2025-07-17 15:22:00,0.0341,0.0161,0.00113,0.00112,0.00212
2025-07-17 15:22:15,0.0348,0.0139,0.00106,0.00112,0.00212
2025-07-17 15:22:30,0.0348,0.0139,0.00106,0.00112,0.00117
