"Time","Cloud","Fog1_Jetson@20W","Fog2_Jetson@20W","Edge1_Jetson@10W","Edge2_RapsberryPi4B"
2025-07-17 15:05:00,2,,,,
2025-07-17 15:05:15,5,,,,
2025-07-17 15:05:30,8,,,,
2025-07-17 15:05:45,11,,,,
2025-07-17 15:06:00,14,,,,
2025-07-17 15:06:15,17,,,,
2025-07-17 15:06:30,20,,,,
2025-07-17 15:06:45,23,,,,
2025-07-17 15:07:00,26,,,,
2025-07-17 15:07:15,29,,,,
2025-07-17 15:07:30,32,,,,
2025-07-17 15:07:45,35,,,,
2025-07-17 15:08:00,38,,,,
2025-07-17 15:08:15,41,,,,
2025-07-17 15:08:30,44,0,,,
2025-07-17 15:08:45,47,48,,,
2025-07-17 15:09:00,50,51,,,
2025-07-17 15:09:15,53,54,,,
2025-07-17 15:09:30,56,57,,,
2025-07-17 15:09:45,59,60,,,
2025-07-17 15:10:00,62,63,,,
2025-07-17 15:10:15,65,66,,,
2025-07-17 15:10:30,68,69,,,
2025-07-17 15:10:45,71,72,,,
2025-07-17 15:11:00,74,75,75,,
2025-07-17 15:11:15,77,78,78,,
2025-07-17 15:11:30,80,81,81,,
2025-07-17 15:11:45,83,84,84,,
2025-07-17 15:12:00,86,87,87,,
2025-07-17 15:12:15,89,90,90,,
2025-07-17 15:12:30,92,93,93,,
2025-07-17 15:12:45,95,96,96,,
2025-07-17 15:13:00,98,99,99,,
2025-07-17 15:13:15,101,102,102,,
2025-07-17 15:13:30,104,105,105,,
2025-07-17 15:13:45,107,108,108,,
2025-07-17 15:14:00,110,111,111,,
2025-07-17 15:14:15,113,114,114,0,
2025-07-17 15:14:30,116,117,117,117,
2025-07-17 15:14:45,119,120,120,120,
2025-07-17 15:15:00,122,123,123,123,
2025-07-17 15:15:15,125,126,126,126,
2025-07-17 15:15:30,128,129,129,129,
2025-07-17 15:15:45,131,132,132,132,
2025-07-17 15:16:00,134,135,135,135,
2025-07-17 15:16:15,137,138,138,138,
2025-07-17 15:16:30,140,141,141,141,
2025-07-17 15:16:45,143,144,143,144,
2025-07-17 15:17:00,146,147,146,147,
2025-07-17 15:17:15,149,150,149,150,148
2025-07-17 15:17:30,152,153,152,153,152
2025-07-17 15:17:45,155,156,155,156,155
2025-07-17 15:18:00,158,159,158,159,158
2025-07-17 15:18:15,161,162,161,162,161
2025-07-17 15:18:30,164,165,164,165,164
2025-07-17 15:18:45,167,168,167,168,167
2025-07-17 15:19:00,170,171,170,171,170
2025-07-17 15:19:15,173,174,173,173,173
2025-07-17 15:19:30,176,177,176,177,176
2025-07-17 15:19:45,179,180,179,180,179
2025-07-17 15:20:00,182,183,182,183,182
2025-07-17 15:20:15,185,185,185,185,185
2025-07-17 15:20:30,187,188,188,188,187
2025-07-17 15:20:45,190,191,191,191,190
2025-07-17 15:21:00,193,194,194,194,193
2025-07-17 15:21:15,196,196,196,196,196
2025-07-17 15:21:30,199,200,199,200,199
2025-07-17 15:21:45,201,203,202,203,202
2025-07-17 15:22:00,205,206,205,206,205
2025-07-17 15:22:15,208,209,208,209,208
2025-07-17 15:22:30,211,211,211,211,211
2025-07-17 15:22:45,,213,213,213,213
2025-07-17 15:23:00,,216,215,215,215
2025-07-17 15:23:15,,,,216,216
