"Time","Cloud","Fog1_Jetson@20W","Fog2_Jetson@20W","Edge1_Jetson@10W","Edge2_RapsberryPi4B"
2025-07-17 15:05:00,42.3,,,,
2025-07-17 15:05:15,45.4,,,,
2025-07-17 15:05:30,45.4,,,,
2025-07-17 15:05:45,45.4,,,,
2025-07-17 15:06:00,42.0,,,,
2025-07-17 15:06:15,42.0,,,,
2025-07-17 15:06:30,42.2,,,,
2025-07-17 15:06:45,42.2,,,,
2025-07-17 15:07:00,42.2,,,,
2025-07-17 15:07:15,42.4,,,,
2025-07-17 15:07:30,42.4,,,,
2025-07-17 15:07:45,42.4,,,,
2025-07-17 15:08:00,42.6,,,,
2025-07-17 15:08:15,42.6,,,,
2025-07-17 15:08:30,43.1,49.1,,,
2025-07-17 15:08:45,41.5,47.9,,,
2025-07-17 15:09:00,42.0,47.9,,,
2025-07-17 15:09:15,42.0,47.1,,,
2025-07-17 15:09:30,42.4,47.8,,,
2025-07-17 15:09:45,42.4,47.8,,,
2025-07-17 15:10:00,42.8,46.3,,,
2025-07-17 15:10:15,43.5,46.3,,,
2025-07-17 15:10:30,42.8,55.9,,,
2025-07-17 15:10:45,42.8,55.9,,,
2025-07-17 15:11:00,43.4,56.3,49.7,,
2025-07-17 15:11:15,42.9,56.3,48.2,,
2025-07-17 15:11:30,43.7,54.9,46.6,,
2025-07-17 15:11:45,43.7,54.9,48.4,,
2025-07-17 15:12:00,43.1,57.3,48.4,,
2025-07-17 15:12:15,42.7,57.7,47.0,,
2025-07-17 15:12:30,62.9,56.4,47.4,,
2025-07-17 15:12:45,63.5,57.3,47.4,,
2025-07-17 15:13:00,63.5,57.6,47.9,,
2025-07-17 15:13:15,63.8,56.7,57.2,,
2025-07-17 15:13:30,63.8,57.4,58.4,,
2025-07-17 15:13:45,64.0,57.5,57.3,,
2025-07-17 15:14:00,64.7,57.6,57.7,,
2025-07-17 15:14:15,62.5,57.6,58.4,43.8,
2025-07-17 15:14:30,62.9,59.0,59.4,46.1,
2025-07-17 15:14:45,63.7,59.1,57.8,42.1,
2025-07-17 15:15:00,61.9,59.7,58.7,42.1,
2025-07-17 15:15:15,62.4,59.9,58.1,42.8,
2025-07-17 15:15:30,62.8,60.3,58.8,42.8,
2025-07-17 15:15:45,63.0,60.3,59.0,42.8,
2025-07-17 15:16:00,63.1,60.8,59.1,42.8,
2025-07-17 15:16:15,63.1,60.9,59.7,43.1,
2025-07-17 15:16:30,63.5,61.1,59.9,45.1,
2025-07-17 15:16:45,63.3,61.5,60.0,45.1,
2025-07-17 15:17:00,63.7,61.8,60.2,45.1,
2025-07-17 15:17:15,63.9,61.8,60.4,45.6,46.5
2025-07-17 15:17:30,63.6,62.7,61.2,45.6,46.8
2025-07-17 15:17:45,63.9,62.7,61.2,44.6,46.2
2025-07-17 15:18:00,63.8,63.4,61.5,45.1,46.2
2025-07-17 15:18:15,64.7,63.8,61.7,43.1,45.8
2025-07-17 15:18:30,64.8,64.0,62.0,43.1,46.0
2025-07-17 15:18:45,65.6,64.4,62.4,43.5,46.0
2025-07-17 15:19:00,65.5,64.5,62.5,44.1,46.1
2025-07-17 15:19:15,66.3,64.8,63.1,44.1,53.2
2025-07-17 15:19:30,67.0,65.2,63.3,44.1,54.1
2025-07-17 15:19:45,66.5,65.6,63.4,44.9,54.4
2025-07-17 15:20:00,67.1,65.6,63.9,44.1,54.6
2025-07-17 15:20:15,67.4,65.8,63.8,44.1,55.4
2025-07-17 15:20:30,67.8,66.3,64.2,44.6,55.5
2025-07-17 15:20:45,68.0,66.7,64.7,45.1,55.9
2025-07-17 15:21:00,68.7,67.0,64.7,44.4,56.0
2025-07-17 15:21:15,69.6,66.7,64.8,44.4,56.7
2025-07-17 15:21:30,69.3,67.3,65.5,44.8,57.1
2025-07-17 15:21:45,70.0,67.4,65.4,44.4,57.4
2025-07-17 15:22:00,70.3,67.6,65.6,45.0,58.2
2025-07-17 15:22:15,70.4,67.8,65.6,44.6,58.8
2025-07-17 15:22:30,71.0,68.5,66.1,44.9,58.9
2025-07-17 15:22:45,,68.3,66.3,44.9,59.5
2025-07-17 15:23:00,,68.9,66.3,44.6,59.8
2025-07-17 15:23:15,,,,44.6,60.1
