"Time","Cloud","Fog1_Jetson@20W","Fog2_Jetson@20W","Edge1_Jetson@10W","Edge2_RapsberryPi4B"
2025-07-17 15:05:00,5.62,,,,
2025-07-17 15:05:15,5.62,,,,
2025-07-17 15:05:30,5.62,,,,
2025-07-17 15:05:45,5.62,,,,
2025-07-17 15:06:00,5.62,,,,
2025-07-17 15:06:15,5.62,,,,
2025-07-17 15:06:30,5.62,,,,
2025-07-17 15:06:45,5.62,,,,
2025-07-17 15:07:00,5.62,,,,
2025-07-17 15:07:15,5.62,,,,
2025-07-17 15:07:30,5.62,,,,
2025-07-17 15:07:45,5.62,,,,
2025-07-17 15:08:00,5.62,,,,
2025-07-17 15:08:15,5.62,,,,
2025-07-17 15:08:30,5.62,0.867,,,
2025-07-17 15:08:45,5.62,0.875,,,
2025-07-17 15:09:00,5.62,0.891,,,
2025-07-17 15:09:15,5.62,0.891,,,
2025-07-17 15:09:30,5.62,0.891,,,
2025-07-17 15:09:45,5.62,0.891,,,
2025-07-17 15:10:00,5.62,0.891,,,
2025-07-17 15:10:15,5.62,0.891,,,
2025-07-17 15:10:30,5.62,0.891,,,
2025-07-17 15:10:45,5.62,0.891,,,
2025-07-17 15:11:00,5.62,0.891,0.867,,
2025-07-17 15:11:15,5.62,0.891,0.875,,
2025-07-17 15:11:30,5.62,0.891,0.875,,
2025-07-17 15:11:45,5.62,0.891,0.891,,
2025-07-17 15:12:00,5.62,0.891,0.891,,
2025-07-17 15:12:15,5.62,0.891,0.891,,
2025-07-17 15:12:30,5.62,0.891,0.891,,
2025-07-17 15:12:45,5.62,0.891,0.891,,
2025-07-17 15:13:00,5.62,0.891,0.891,,
2025-07-17 15:13:15,5.62,0.891,0.891,,
2025-07-17 15:13:30,5.62,0.891,0.891,,
2025-07-17 15:13:45,5.62,0.891,0.891,,
2025-07-17 15:14:00,5.62,0.891,0.891,,
2025-07-17 15:14:15,5.62,0.891,0.891,0.375,
2025-07-17 15:14:30,5.62,0.891,0.891,0.375,
2025-07-17 15:14:45,5.62,0.891,0.891,0.375,
2025-07-17 15:15:00,5.62,0.891,0.891,0.375,
2025-07-17 15:15:15,5.62,0.891,0.891,0.375,
2025-07-17 15:15:30,5.62,0.891,0.891,0.375,
2025-07-17 15:15:45,5.62,0.891,0.891,0.375,
2025-07-17 15:16:00,5.62,0.891,0.891,0.375,
2025-07-17 15:16:15,5.62,0.891,0.891,0.375,
2025-07-17 15:16:30,5.62,0.891,0.891,0.391,
2025-07-17 15:16:45,5.62,0.891,0.891,0.391,
2025-07-17 15:17:00,5.62,0.891,0.891,0.391,
2025-07-17 15:17:15,5.62,0.891,0.891,0.391,0.617
2025-07-17 15:17:30,5.62,0.891,0.891,0.391,0.617
2025-07-17 15:17:45,5.62,0.891,0.891,0.391,0.617
2025-07-17 15:18:00,5.62,0.891,0.891,0.391,0.617
2025-07-17 15:18:15,5.62,0.891,0.891,0.391,0.617
2025-07-17 15:18:30,5.62,0.891,0.891,0.391,0.617
2025-07-17 15:18:45,5.62,0.891,0.891,0.391,0.617
2025-07-17 15:19:00,5.62,0.891,0.891,0.391,0.617
2025-07-17 15:19:15,5.62,0.891,0.891,0.391,0.633
2025-07-17 15:19:30,5.62,0.891,0.891,0.391,0.633
2025-07-17 15:19:45,5.62,0.891,0.891,0.391,0.633
2025-07-17 15:20:00,5.62,0.891,0.891,0.391,0.633
2025-07-17 15:20:15,5.62,0.891,0.891,0.391,0.633
2025-07-17 15:20:30,5.62,0.891,0.891,0.391,0.633
2025-07-17 15:20:45,5.62,0.891,0.891,0.391,0.633
2025-07-17 15:21:00,5.62,0.891,0.891,0.391,0.633
2025-07-17 15:21:15,5.62,0.891,0.891,0.391,0.633
2025-07-17 15:21:30,5.62,0.891,0.891,0.391,0.633
2025-07-17 15:21:45,5.62,0.891,0.891,0.391,0.633
2025-07-17 15:22:00,5.62,0.891,0.891,0.391,0.633
2025-07-17 15:22:15,5.62,0.891,0.891,0.391,0.633
2025-07-17 15:22:30,5.62,0.891,0.891,0.391,0.633
2025-07-17 15:22:45,,0.891,0.891,0.391,0.633
2025-07-17 15:23:00,,0.891,0.891,0.391,0.633
2025-07-17 15:23:15,,,,0.391,0.633
