"Time","Edge1_Jetson@10W","Edge2_RapsberryPi4B","Fog1_Jetson@20W","Fog2_Jetson@20W"
2025-07-17 15:08:30,,,54.0,
2025-07-17 15:08:45,,,61.4,
2025-07-17 15:09:00,,,65.3,
2025-07-17 15:09:15,,,68.3,
2025-07-17 15:09:30,,,70.9,
2025-07-17 15:09:45,,,72.5,
2025-07-17 15:10:00,,,74.5,
2025-07-17 15:10:15,,,75.8,
2025-07-17 15:10:30,,,79.5,
2025-07-17 15:10:45,,,80.8,
2025-07-17 15:11:00,,,84.2,65.0
2025-07-17 15:11:15,,,85.6,68.6
2025-07-17 15:11:30,,,87.5,73.9
2025-07-17 15:11:45,,,89.5,79.7
2025-07-17 15:12:00,,,91.5,82.1
2025-07-17 15:12:15,,,93.7,84.3
2025-07-17 15:12:30,,,96.9,87.1
2025-07-17 15:12:45,,,98.8,89.0
2025-07-17 15:13:00,,,101,90.8
2025-07-17 15:13:15,,,102,93.0
2025-07-17 15:13:30,,,105,97.4
2025-07-17 15:13:45,,,107,99.0
2025-07-17 15:14:00,,,108,101
2025-07-17 15:14:15,54.5,,110,104
2025-07-17 15:14:30,65.7,,114,106
2025-07-17 15:14:45,68.4,,115,108
2025-07-17 15:15:00,70.1,,117,110
2025-07-17 15:15:15,71.9,,119,113
2025-07-17 15:15:30,73.0,,121,116
2025-07-17 15:15:45,74.2,,122,119
2025-07-17 15:16:00,75.9,,124,121
2025-07-17 15:16:15,77.3,,126,123
2025-07-17 15:16:30,84.0,,128,125
2025-07-17 15:16:45,85.7,,130,126
2025-07-17 15:17:00,87.8,,132,128
2025-07-17 15:17:15,89.8,72.2,134,130
2025-07-17 15:17:30,91.4,80.3,136,133
2025-07-17 15:17:45,93.5,83.2,138,135
2025-07-17 15:18:00,95.6,85.6,140,137
2025-07-17 15:18:15,97.2,87.5,142,139
2025-07-17 15:18:30,98.4,88.6,144,141
2025-07-17 15:18:45,100,89.5,146,142
2025-07-17 15:19:00,102,90.8,147,144
2025-07-17 15:19:15,103,96.3,150,146
2025-07-17 15:19:30,104,98.3,152,148
2025-07-17 15:19:45,106,99.3,154,150
2025-07-17 15:20:00,107,100,156,152
2025-07-17 15:20:15,109,103,157,154
2025-07-17 15:20:30,110,104,159,156
2025-07-17 15:20:45,112,105,161,158
2025-07-17 15:21:00,113,107,163,159
2025-07-17 15:21:15,115,108,164,161
2025-07-17 15:21:30,116,110,166,163
2025-07-17 15:21:45,118,111,167,165
2025-07-17 15:22:00,119,113,169,167
2025-07-17 15:22:15,120,114,171,169
2025-07-17 15:22:30,122,116,173,170
2025-07-17 15:22:45,123,116,174,172
2025-07-17 15:23:00,125,118,176,173
2025-07-17 15:23:15,127,119,,
