timestamp,function,duration_seconds,memory_kb,total_cpu_time_seconds
2025-07-17 14:38:44,generate_account,0.0262,2.03,0.0262
2025-07-17 14:38:44,create_qbft_file,0.2354,0.0,0.1031
2025-07-17 14:38:45,generate_keys,0.07,106.72,0.0678
2025-07-17 14:38:55,create_genesis_file,9.6412,0.79,0.008
2025-07-17 14:39:02,update_genesis_file,5.7088,3.94,0.0101
2025-07-17 14:39:08,update_extra_data_in_genesis,5.8169,4.25,0.0108

2025-07-17 15:03:31,generate_account,0.0269,2.03,0.0269
2025-07-17 15:03:31,create_qbft_file,0.0985,0.0,0.0981
2025-07-17 15:03:32,generate_keys,0.0727,106.67,0.0704
2025-07-17 15:03:38,create_genesis_file,5.6711,0.85,0.0092
2025-07-17 15:03:44,update_genesis_file,5.7657,3.87,0.01
2025-07-17 15:03:51,update_extra_data_in_genesis,5.5478,4.22,0.0099

2025-07-17 15:23:52,generate_account,0.1009,2.03,0.0265
2025-07-17 15:23:52,create_qbft_file,0.3206,0.0,0.1231
2025-07-17 15:23:58,generate_keys,0.2457,106.67,0.0715
2025-07-17 15:24:32,create_genesis_file,32.2252,0.85,0.0098
2025-07-17 15:25:04,update_genesis_file,28.9922,3.87,0.03
2025-07-17 15:25:36,update_extra_data_in_genesis,28.6186,4.22,0.011

