timestamp,function,duration_seconds,memory_kb,total_cpu_time_seconds
2025-07-17 14:48:30,check_smart_contract,0.0001,2.18,0.0002
2025-07-17 14:48:30,check_smart_contract_deployment,0.4303,1.06,0.0069
2025-07-17 14:48:31,is_node_registered_js,0.4126,1.09,0.0062
2025-07-17 14:48:31,get_node_details_js,0.4092,2.21,0.0063
2025-07-17 14:48:32,check_token_availability,0.4003,1.03,0.0064
2025-07-17 14:48:40,issue_capability_token,8.6324,40.67,0.0396
2025-07-17 14:48:46,get_capability_token,0.4232,1.3,0.0209

2025-07-17 15:09:29,check_smart_contract,0.0002,2.18,0.0002
2025-07-17 15:09:29,check_smart_contract_deployment,0.434,1.06,0.0167
2025-07-17 15:09:30,is_node_registered_js,0.3984,1.09,0.0061
2025-07-17 15:09:30,get_node_details_js,0.436,39.75,0.0123
2025-07-17 15:09:31,check_token_availability,0.4131,36.5,0.0129
2025-07-17 15:09:39,issue_capability_token,8.6935,2.7,0.0175
2025-07-17 15:09:45,get_capability_token,0.432,1.3,0.0161

2025-07-17 15:39:09,check_smart_contract,0.0005,2.21,0.0005
2025-07-17 15:39:13,check_smart_contract_deployment,4.1202,1.09,0.0328
2025-07-17 15:39:15,is_node_registered_js,1.8964,38.57,0.0546
2025-07-17 15:39:18,get_node_details_js,2.2649,37.62,0.053
2025-07-17 15:39:20,check_token_availability,2.1502,36.8,0.0509
2025-07-17 15:39:30,issue_capability_token,10.65,1.92,0.0315
2025-07-17 15:39:39,get_capability_token,3.6829,1.5,0.0341

