timestamp,function,duration_seconds,memory_kb,total_cpu_time_seconds
2025-07-17 14:44:32,check_smart_contract,0.0001,0.87,0.0001
2025-07-17 14:44:32,check_smart_contract_deployment,0.426,36.57,0.0135
2025-07-17 14:44:32,verify_node_identity,0.0523,8.06,0.0521
2025-07-17 14:44:33,is_node_registered_js,0.3849,1.12,0.0073
2025-07-17 14:44:35,register_node_on_chain,2.6001,1.37,0.0073
2025-07-17 14:44:36,get_enode,0.0786,34.06,0.0128
2025-07-17 14:44:36,send_acknowledgment,0.691,0.0,0.0204
2025-07-17 14:44:38,get_peers,0.4086,1.09,0.0073
2025-07-17 14:44:38,get_peers,0.3807,1.09,0.0061
2025-07-17 14:44:43,get_peers,0.3941,36.61,0.0129
2025-07-17 14:44:49,get_peers,0.4193,1.06,0.0182
2025-07-17 14:44:54,get_peers,0.3997,36.5,0.0137
2025-07-17 14:45:00,get_peers,0.4235,1.09,0.0198
2025-07-17 14:45:05,emitValidatorProposalToChain,5.5752,39.26,0.0243
2025-07-17 14:45:06,proposeValidator,0.4228,1.22,0.0075

2025-07-17 15:08:02,check_smart_contract,0.0003,0.87,0.0003
2025-07-17 15:08:02,check_smart_contract_deployment,0.4572,1.06,0.0167
2025-07-17 15:08:02,verify_node_identity,0.0511,7.97,0.0512
2025-07-17 15:08:03,is_node_registered_js,0.3861,1.06,0.0065
2025-07-17 15:08:04,register_node_on_chain,1.5935,1.37,0.0069
2025-07-17 15:08:05,get_enode,0.071,34.22,0.0128
2025-07-17 15:08:05,send_acknowledgment,0.4671,0.0,0.0204
2025-07-17 15:08:06,get_peers,0.4313,1.09,0.0071
2025-07-17 15:08:07,get_peers,0.442,1.09,0.0072
2025-07-17 15:08:12,get_peers,0.3928,1.09,0.007
2025-07-17 15:08:18,get_peers,0.4124,1.09,0.02
2025-07-17 15:08:23,get_peers,0.3899,36.61,0.0134
2025-07-17 15:08:29,get_peers,0.431,1.03,0.0202
2025-07-17 15:08:34,emitValidatorProposalToChain,5.5832,39.15,0.0367
2025-07-17 15:08:35,proposeValidator,0.4009,1.16,0.0071

2025-07-17 15:32:34,check_smart_contract,0.0003,0.87,0.0003
2025-07-17 15:32:34,check_smart_contract_deployment,0.4576,1.06,0.0185
2025-07-17 15:32:34,verify_node_identity,0.0713,8.32,0.0713
2025-07-17 15:32:35,is_node_registered_js,1.0171,1.09,0.011
2025-07-17 15:32:45,register_node_on_chain,9.5654,5.21,0.1202
2025-07-17 15:32:46,get_enode,0.2735,34.11,0.0379
2025-07-17 15:32:47,send_acknowledgment,0.6736,0.0,0.0501
2025-07-17 15:32:51,get_peers,1.8836,1.03,0.027
2025-07-17 15:32:53,get_peers,1.4687,1.09,0.0261
2025-07-17 15:33:01,get_peers,2.9395,1.12,0.0339
2025-07-17 15:33:13,get_peers,7.1849,38.63,0.0679
2025-07-17 15:33:20,get_peers,1.8521,1.12,0.0264
2025-07-17 15:33:25,emitValidatorProposalToChain,4.7982,1.25,0.0249
2025-07-17 15:33:37,proposeValidator,1.3639,1.19,0.0243

