timestamp,function,duration_seconds,memory_kb,total_cpu_time_seconds
2025-07-17 14:57:36,check_smart_contract,0.0009,2.28,0.0009
2025-07-17 14:57:37,check_smart_contract_deployment,1.1635,1.11,0.0044
2025-07-17 14:57:39,is_node_registered_js,1.1484,1.11,0.0041
2025-07-17 14:57:40,get_node_details_js,1.3963,2.23,0.0067
2025-07-17 14:57:41,check_token_availability,1.1848,1.11,0.0058
2025-07-17 14:57:42,check_token_expiry,1.1613,1.11,0.0064
2025-07-17 14:57:44,get_capability_token,1.2196,1.29,0.0093

2025-07-17 15:18:28,check_smart_contract,0.0003,2.28,0.0003
2025-07-17 15:18:30,check_smart_contract_deployment,1.2583,1.11,0.0043
2025-07-17 15:18:31,is_node_registered_js,1.1721,1.11,0.0064
2025-07-17 15:18:32,get_node_details_js,1.2053,2.23,0.0066
2025-07-17 15:18:33,check_token_availability,1.2199,1.11,0.0079
2025-07-17 15:18:34,check_token_expiry,1.1718,1.11,0.0063
2025-07-17 15:18:36,get_capability_token,1.2124,1.29,0.0086

2025-07-17 15:48:48,check_smart_contract,0.0186,2.28,0.0004
2025-07-17 15:48:50,check_smart_contract_deployment,1.5519,1.11,0.0055
2025-07-17 15:48:51,is_node_registered_js,1.2183,1.11,0.0049
2025-07-17 15:48:52,get_node_details_js,1.2076,2.17,0.0066
2025-07-17 15:48:53,check_token_availability,1.1628,1.11,0.0064
2025-07-17 15:48:54,check_token_expiry,1.1631,1.11,0.0065
2025-07-17 15:48:56,get_capability_token,1.2452,1.29,0.0084

