timestamp,function,duration_seconds,memory_kb,total_cpu_time_seconds
2025-07-17 14:56:49,check_smart_contract,0.0002,2.28,0.0003
2025-07-17 14:56:50,check_smart_contract_deployment,1.2167,1.11,0.0044
2025-07-17 14:56:52,is_node_registered_js,1.164,1.11,0.0042
2025-07-17 14:56:53,get_node_details_js,1.2259,2.23,0.0077
2025-07-17 14:56:54,check_token_availability,1.2187,1.11,0.0055
2025-07-17 14:57:10,issue_capability_token,16.0025,1.93,0.0249
2025-07-17 14:57:16,get_capability_token,1.1754,1.29,0.0112

2025-07-17 15:17:33,check_smart_contract,0.0004,2.28,0.0004
2025-07-17 15:17:35,check_smart_contract_deployment,1.2893,1.11,0.0045
2025-07-17 15:17:36,is_node_registered_js,1.2139,1.11,0.0051
2025-07-17 15:17:37,get_node_details_js,1.2332,2.23,0.0075
2025-07-17 15:17:38,check_token_availability,1.2138,1.11,0.0079
2025-07-17 15:17:56,issue_capability_token,17.6113,1.93,0.0287
2025-07-17 15:18:02,get_capability_token,1.2372,1.23,0.0109

2025-07-17 15:48:12,check_smart_contract,0.0007,2.18,0.0007
2025-07-17 15:48:13,check_smart_contract_deployment,1.2177,1.04,0.0044
2025-07-17 15:48:15,is_node_registered_js,1.1972,1.08,0.0048
2025-07-17 15:48:16,get_node_details_js,1.2479,2.23,0.0052
2025-07-17 15:48:17,check_token_availability,1.1782,1.11,0.0043
2025-07-17 15:48:20,issue_capability_token,2.95,1.93,0.0103
2025-07-17 15:48:26,get_capability_token,1.2041,1.23,0.0055

