timestamp,function,duration_seconds,memory_kb,total_cpu_time_seconds
2025-07-17 15:00:20,check_smart_contract,0.0002,2.28,0.0002
2025-07-17 15:00:21,check_smart_contract_deployment,0.8215,1.11,0.0034
2025-07-17 15:00:22,is_node_registered_js,0.8314,1.11,0.0033
2025-07-17 15:00:23,get_node_details_js,0.8427,2.23,0.0033
2025-07-17 15:00:24,check_token_availability,0.8184,1.11,0.0033
2025-07-17 15:00:24,check_token_expiry,0.8108,1.11,0.0035
2025-07-17 15:00:25,get_capability_token,0.8558,1.3,0.0038

2025-07-17 15:20:49,check_smart_contract,0.0002,2.18,0.0002
2025-07-17 15:20:50,check_smart_contract_deployment,0.8852,1.04,0.0033
2025-07-17 15:20:51,is_node_registered_js,0.8204,0.99,0.0035
2025-07-17 15:20:52,get_node_details_js,0.8557,2.17,0.0036
2025-07-17 15:20:53,check_token_availability,0.871,1.04,0.0033
2025-07-17 15:20:53,check_token_expiry,0.8202,1.04,0.0035
2025-07-17 15:20:54,get_capability_token,0.8371,1.24,0.004

2025-07-17 15:51:14,check_smart_contract,0.0004,2.18,0.0004
2025-07-17 15:51:15,check_smart_contract_deployment,0.9013,1.04,0.0073
2025-07-17 15:51:16,is_node_registered_js,0.8253,1.04,0.0034
2025-07-17 15:51:17,get_node_details_js,0.8508,2.17,0.0035
2025-07-17 15:51:18,check_token_availability,0.8154,1.04,0.0032
2025-07-17 15:51:19,check_token_expiry,0.8109,1.04,0.0034
2025-07-17 15:51:19,get_capability_token,0.8143,1.24,0.0039

