timestamp,function,duration_seconds,memory_kb,total_cpu_time_seconds
2025-07-17 14:55:09,load_public_key,0.0003,0.72,0.0003
2025-07-17 14:55:23,get_address,13.9029,1.62,0.0045
2025-07-17 14:55:23,sign_identity,0.8357,2201.28,0.8351
2025-07-17 14:55:42,acknowledgement,0.3448,23.16,0.0983
2025-07-17 14:55:43,register_node,20.677,0.0,0.8566
2025-07-17 14:55:44,load_enode_address,0.0003,1.23,0.0004
2025-07-17 14:58:40,register_node_on_chain,11.5173,1.47,0.0071
2025-07-17 14:58:41,register_node,16.6488,0.0,0.9662
2025-07-17 14:59:09,register_node,2.6683,0.0,0.2356
2025-07-17 15:00:01,write,19.7571,0.0,0.0404
2025-07-17 15:00:25,write,4.9859,0.0,0.0255
2025-07-17 15:01:01,read,21.6733,0.0,0.04
2025-07-17 15:02:31,start_blockchain_node,407.0177,0.0,0.0312
2025-07-17 15:15:57,load_public_key,0.0003,0.72,0.0003
2025-07-17 15:16:09,get_address,12.1143,1.62,0.0043
2025-07-17 15:16:10,sign_identity,0.8346,2201.82,0.8342
2025-07-17 15:16:26,acknowledgement,0.3679,23.34,0.1035
2025-07-17 15:16:28,register_node,18.3987,0.0,0.8558
2025-07-17 15:16:28,load_enode_address,0.0003,1.23,0.0004
2025-07-17 15:19:13,register_node_on_chain,14.855,1.47,0.009
2025-07-17 15:19:14,register_node,20.2097,0.0,0.9711
2025-07-17 15:19:34,register_node,1.924,0.0,0.283
2025-07-17 15:20:30,write,37.2797,0.0,0.0349
2025-07-17 15:20:54,write,5.0948,0.0,0.0261
2025-07-17 15:22:02,read,26.6755,0.0,0.0389
2025-07-17 15:23:22,start_blockchain_node,413.6429,0.0,0.0322
2025-07-17 15:46:43,load_public_key,0.0003,0.72,0.0003
2025-07-17 15:46:58,get_address,14.894,1.62,0.0049
2025-07-17 15:46:59,sign_identity,0.858,2201.82,0.8577
2025-07-17 15:47:22,acknowledgement,0.3494,23.34,0.0928
2025-07-17 15:47:24,register_node,25.7037,0.0,0.8801
2025-07-17 15:47:24,load_enode_address,0.0003,1.23,0.0004
2025-07-17 15:49:55,register_node_on_chain,23.7114,1.47,0.011
2025-07-17 15:49:57,register_node,29.2532,0.0,0.9526
2025-07-17 15:50:21,register_node,1.9404,0.0,0.2409
2025-07-17 15:50:56,write,19.6134,0.0,0.0314
2025-07-17 15:51:19,write,5.0245,0.0,0.031
2025-07-17 15:52:26,read,25.6981,0.0,0.0326
2025-07-17 15:53:51,start_blockchain_node,386.9164,0.0,0.032
