timestamp,function,duration_seconds,memory_kb,total_cpu_time_seconds
2025-07-17 14:59:41,check_smart_contract,0.0005,2.31,0.0006
2025-07-17 14:59:42,check_smart_contract_deployment,0.8947,1.11,0.0072
2025-07-17 14:59:43,is_node_registered_js,0.8101,1.11,0.0034
2025-07-17 14:59:44,get_node_details_js,0.8737,2.23,0.0035
2025-07-17 14:59:44,check_token_availability,0.8319,1.11,0.0033
2025-07-17 14:59:55,issue_capability_token,10.4617,1.95,0.0071
2025-07-17 15:00:01,get_capability_token,0.8771,1.3,0.0073

2025-07-17 15:00:39,check_smart_contract,0.0004,2.28,0.0005
2025-07-17 15:00:40,check_smart_contract_deployment,0.9265,1.11,0.0074
2025-07-17 15:00:41,is_node_registered_js,0.8212,1.11,0.0033
2025-07-17 15:00:41,get_node_details_js,0.8218,2.23,0.0035
2025-07-17 15:00:42,check_token_availability,0.8178,1.11,0.0032
2025-07-17 15:00:55,issue_capability_token,12.4332,1.95,0.0074
2025-07-17 15:01:01,get_capability_token,0.8458,1.3,0.0075

2025-07-17 15:19:52,check_smart_contract,0.0002,2.18,0.0002
2025-07-17 15:19:53,check_smart_contract_deployment,0.8869,1.04,0.0034
2025-07-17 15:19:54,is_node_registered_js,0.8268,0.99,0.0034
2025-07-17 15:19:55,get_node_details_js,0.9058,2.11,0.0035
2025-07-17 15:19:56,check_token_availability,0.8303,0.99,0.0032
2025-07-17 15:20:24,issue_capability_token,28.0011,1.83,0.011
2025-07-17 15:20:30,get_capability_token,0.8228,1.18,0.0037

2025-07-17 15:21:35,check_smart_contract,0.0004,2.18,0.0005
2025-07-17 15:21:36,check_smart_contract_deployment,0.89,1.04,0.0075
2025-07-17 15:21:37,is_node_registered_js,0.8308,1.04,0.0034
2025-07-17 15:21:38,get_node_details_js,0.851,2.17,0.0037
2025-07-17 15:21:38,check_token_availability,0.8394,1.04,0.0036
2025-07-17 15:21:56,issue_capability_token,17.4399,1.88,0.0094
2025-07-17 15:22:02,get_capability_token,0.8175,1.3,0.004

2025-07-17 15:50:37,check_smart_contract,0.0002,2.21,0.0003
2025-07-17 15:50:37,check_smart_contract_deployment,0.8541,1.04,0.0032
2025-07-17 15:50:38,is_node_registered_js,0.8079,1.04,0.0034
2025-07-17 15:50:39,get_node_details_js,0.8416,2.17,0.0036
2025-07-17 15:50:40,check_token_availability,0.8745,1.04,0.0033
2025-07-17 15:50:50,issue_capability_token,10.4155,1.88,0.0074
2025-07-17 15:50:56,get_capability_token,0.8141,1.24,0.0041

2025-07-17 15:52:00,check_smart_contract,0.0002,2.28,0.0002
2025-07-17 15:52:01,check_smart_contract_deployment,0.8825,1.11,0.0034
2025-07-17 15:52:02,is_node_registered_js,0.8122,1.11,0.0035
2025-07-17 15:52:03,get_node_details_js,0.911,2.23,0.0035
2025-07-17 15:52:03,check_token_availability,0.8141,1.11,0.0032
2025-07-17 15:52:20,issue_capability_token,16.4248,1.95,0.0093
2025-07-17 15:52:26,get_capability_token,0.8481,1.3,0.0041

