timestamp,function,duration_seconds,memory_kb,total_cpu_time_seconds
2025-07-17 14:52:21,check_smart_contract,0.0007,2.18,0.0007
2025-07-17 14:52:23,check_smart_contract_deployment,1.0926,14.42,0.0079
2025-07-17 14:52:24,is_node_registered_js,1.1537,12.19,0.0085
2025-07-17 14:52:25,get_node_details_js,1.1555,13.92,0.0087
2025-07-17 14:52:26,check_token_availability,1.183,1.33,0.0057
2025-07-17 14:52:27,check_token_expiry,1.0793,1.02,0.0054
2025-07-17 14:52:28,get_capability_token,1.0644,1.2,0.0059

2025-07-17 15:12:42,check_smart_contract,0.0007,2.18,0.0007
2025-07-17 15:12:43,check_smart_contract_deployment,1.1038,0.96,0.0042
2025-07-17 15:12:44,is_node_registered_js,1.0802,0.96,0.0042
2025-07-17 15:12:45,get_node_details_js,1.1453,2.08,0.0065
2025-07-17 15:12:46,check_token_availability,1.1202,14.31,0.0088
2025-07-17 15:12:47,check_token_expiry,1.1528,12.13,0.0084
2025-07-17 15:12:48,get_capability_token,1.1809,13.1,0.0096

2025-07-17 15:43:18,check_smart_contract,0.0007,2.18,0.0007
2025-07-17 15:43:19,check_smart_contract_deployment,1.0935,1.02,0.0042
2025-07-17 15:43:20,is_node_registered_js,1.1107,1.02,0.0042
2025-07-17 15:43:22,get_node_details_js,1.1179,2.27,0.0066
2025-07-17 15:43:23,check_token_availability,1.1038,1.15,0.005
2025-07-17 15:43:24,check_token_expiry,1.1081,1.02,0.0062
2025-07-17 15:43:25,get_capability_token,1.1369,1.52,0.0051

