timestamp,function,duration_seconds,memory_kb,total_cpu_time_seconds
2025-07-17 14:51:17,check_smart_contract,0.0003,0.87,0.0003
2025-07-17 14:51:18,check_smart_contract_deployment,1.1281,12.61,0.0089
2025-07-17 14:51:18,verify_node_identity,0.208,1.63,0.2051
2025-07-17 14:51:19,is_node_registered_js,1.0843,1.2,0.0058

2025-07-17 15:11:38,check_smart_contract,0.0008,0.87,0.0009
2025-07-17 15:11:39,check_smart_contract_deployment,1.1143,14.17,0.0088
2025-07-17 15:11:39,verify_node_identity,0.2057,1.63,0.2038
2025-07-17 15:11:40,is_node_registered_js,1.1736,12.13,0.0084

2025-07-17 15:42:05,check_smart_contract,0.0009,0.87,0.0009
2025-07-17 15:42:06,check_smart_contract_deployment,1.1297,1.02,0.0046
2025-07-17 15:42:06,verify_node_identity,0.1942,1.16,0.1931
2025-07-17 15:42:08,is_node_registered_js,1.2832,14.17,0.0079

