timestamp,function,duration_seconds,memory_kb,total_cpu_time_seconds
2025-07-17 14:50:00,check_smart_contract,0.0003,0.87,0.0003
2025-07-17 14:50:01,check_smart_contract_deployment,1.1271,1.08,0.0042
2025-07-17 14:50:02,verify_node_identity,0.8168,2200.14,0.811
2025-07-17 14:50:03,is_node_registered_js,1.0789,1.02,0.0041
2025-07-17 14:50:05,register_node_on_chain,2.672,1.3,0.0063
2025-07-17 14:50:07,get_enode,0.1685,29.96,0.0289
2025-07-17 14:50:07,send_acknowledgment,0.4607,0.0,0.0535
2025-07-17 14:50:10,get_peers,1.1472,1.1,0.0061
2025-07-17 14:50:11,get_peers,1.0541,1.02,0.0061
2025-07-17 14:50:17,get_peers,1.0794,1.02,0.009
2025-07-17 14:50:24,get_peers,1.1374,1.1,0.0052
2025-07-17 14:50:30,get_peers,1.0981,1.02,0.0091
2025-07-17 14:50:35,emitValidatorProposalToChain,4.5458,14.74,0.0208
2025-07-17 14:50:38,proposeValidator,1.164,1.14,0.0062

2025-07-17 15:10:18,check_smart_contract,0.0003,0.87,0.0004
2025-07-17 15:10:19,check_smart_contract_deployment,1.1896,12.6,0.0088
2025-07-17 15:10:20,verify_node_identity,0.883,2212.97,0.8759
2025-07-17 15:10:21,is_node_registered_js,1.1354,1.16,0.0056
2025-07-17 15:10:24,register_node_on_chain,2.6582,1.3,0.0066
2025-07-17 15:10:25,get_enode,0.1586,29.83,0.0362
2025-07-17 15:10:26,send_acknowledgment,0.449,0.0,0.0611
2025-07-17 15:10:29,get_peers,1.0567,1.02,0.006
2025-07-17 15:10:30,get_peers,1.0427,1.02,0.0063
2025-07-17 15:10:36,get_peers,1.0517,1.02,0.009
2025-07-17 15:10:42,get_peers,1.0555,1.02,0.0088
2025-07-17 15:10:48,get_peers,1.0852,1.1,0.0061
2025-07-17 15:10:54,emitValidatorProposalToChain,4.5614,1.18,0.0091
2025-07-17 15:11:02,proposeValidator,1.1134,12.29,0.0082

2025-07-17 15:40:28,check_smart_contract,0.0008,0.87,0.0009
2025-07-17 15:40:29,check_smart_contract_deployment,1.0825,1.08,0.0044
2025-07-17 15:40:30,verify_node_identity,0.8249,2200.61,0.8116
2025-07-17 15:40:31,is_node_registered_js,1.0678,1.02,0.0043
2025-07-17 15:40:35,register_node_on_chain,4.6493,4.91,0.0214
2025-07-17 15:40:37,get_enode,0.1625,29.8,0.034
2025-07-17 15:40:37,send_acknowledgment,0.4736,0.0,0.0607
2025-07-17 15:40:40,get_peers,1.0738,1.02,0.0069
2025-07-17 15:40:41,get_peers,1.0491,1.02,0.0063
2025-07-17 15:40:47,get_peers,1.1227,12.19,0.0085
2025-07-17 15:40:53,get_peers,1.0504,1.02,0.0094
2025-07-17 15:41:00,get_peers,1.1078,14.23,0.0127
2025-07-17 15:41:05,emitValidatorProposalToChain,4.5973,1.97,0.0146
2025-07-17 15:41:17,proposeValidator,1.0927,1.06,0.0056

