timestamp,function,duration_seconds,memory_kb,total_cpu_time_seconds
2025-07-17 14:54:17,check_smart_contract,0.0004,2.21,0.0005
2025-07-17 14:54:18,check_smart_contract_deployment,1.1714,12.21,0.0087
2025-07-17 14:54:19,is_node_registered_js,1.1434,12.63,0.0087
2025-07-17 14:54:20,get_node_details_js,1.1206,2.33,0.0055
2025-07-17 14:54:21,check_token_availability,1.0471,1.03,0.0054
2025-07-17 14:54:26,issue_capability_token,4.5997,1.72,0.01
2025-07-17 14:54:32,get_capability_token,1.1179,12.82,0.0088

2025-07-17 15:14:45,check_smart_contract,0.0004,2.18,0.0003
2025-07-17 15:14:46,check_smart_contract_deployment,1.0712,1.03,0.0044
2025-07-17 15:14:47,is_node_registered_js,1.0776,1.03,0.0044
2025-07-17 15:14:48,get_node_details_js,1.1241,2.15,0.0062
2025-07-17 15:14:49,check_token_availability,1.0917,1.03,0.0069
2025-07-17 15:15:04,issue_capability_token,14.6373,16.88,0.0386
2025-07-17 15:15:10,get_capability_token,1.1179,1.22,0.0101

2025-07-17 15:45:37,check_smart_contract,0.0003,2.18,0.0003
2025-07-17 15:45:38,check_smart_contract_deployment,1.1389,14.25,0.0081
2025-07-17 15:45:40,is_node_registered_js,1.1498,12.21,0.0084
2025-07-17 15:45:41,get_node_details_js,1.1534,13.75,0.0088
2025-07-17 15:45:42,check_token_availability,1.0636,1.21,0.0061
2025-07-17 15:45:45,issue_capability_token,3.5554,1.72,0.0071
2025-07-17 15:45:52,get_capability_token,1.1488,14.44,0.0133

